NCB,ISIN,ISSUER
DE,DE000A194DD9,Daimler Intl Finance B.V.
DE,DE000A194DE7,Daimler Intl Finance B.V.
DE,DE000A19B8D4,Vonovia Finance B.V.
DE,DE000A19B8E2,Vonovia Finance B.V.
DE,DE000A19HBM3,Daimler Intl Finance B.V.
DE,DE000A19NS93,Vonovia Finance B.V.
DE,DE000A19NY87,Daimler Intl Finance B.V.
DE,DE000A19S4U8,Allianz Finance II B.V.
DE,DE000A19S4V6,Allianz Finance II B.V.
DE,DE000A19UNN9,Daimler Intl Finance B.V.
DE,DE000A19UR61,Vonovia Finance B.V.
DE,DE000A19UR79,Vonovia Finance B.V.
DE,DE000A19X793,Vonovia Finance B.V.
DE,DE000A19X8A4,Vonovia Finance B.V.
DE,DE000A19X8B2,Vonovia Finance B.V.
DE,DE000A19X8C0,Vonovia Finance B.V.
DE,DE000A1G0RU9,Allianz Finance II B.V.
DE,DE000A1HG1K6,Allianz Finance II B.V.
DE,DE000A1HRVD5,Vonovia Finance B.V.
DE,DE000A1PGWA5,Daimler AG
DE,DE000A1PGZ82,K+S Aktiengesellschaft
DE,DE000A1R04X6,Daimler AG
DE,DE000A1R0691,Daimler AG
DE,DE000A1R07P5,Linde Finance B.V.
DE,DE000A1R0XG3,BASF SE
DE,DE000A1RE1W1,Deutsche Börse AG
DE,DE000A1TNJ97,Daimler AG
DE,DE000A1UDWN5,Siemens Financieringsmaatschappij N.V.
DE,DE000A1ZLUN1,Vonovia Finance B.V.
DE,DE000A1ZY989,Vonovia Finance B.V.
DE,DE000A254P51,LEG Immobilien AG
DE,DE000A254P69,LEG Immobilien AG
DE,DE000A287179,Vonovia Finance B.V.
DE,DE000A289DB1,BASF SE
DE,DE000A289DC9,BASF SE
DE,DE000A289NE4,Deutsche Wohnen AG
DE,DE000A289NF1,Deutsche Wohnen AG
DE,DE000A289Q91,Schaeffler AG
DE,DE000A289QR9,Daimler AG
DE,DE000A289RN6,Daimler AG
DE,DE000A289XG8,Daimler AG
DE,DE000A289XH6,Daimler AG
DE,DE000A289XJ2,Daimler AG
DE,DE000A28RSQ8,Allianz Finance II B.V.
DE,DE000A28RSR6,Allianz Finance II B.V.
DE,DE000A28VQC4,Vonovia Finance B.V.
DE,DE000A28VQD2,Vonovia Finance B.V.
DE,DE000A28ZQP7,Vonovia Finance B.V.
DE,DE000A28ZQQ5,Vonovia Finance B.V.
DE,DE000A2AAL31,Daimler AG
DE,DE000A2BPA51,BASF SE
DE,DE000A2DADM7,Daimler AG
DE,DE000A2G8VT5,SAP SE
DE,DE000A2G8VU3,SAP SE
DE,DE000A2GSCW3,Daimler AG
DE,DE000A2GSCX1,Daimler AG
DE,DE000A2GSCY9,Daimler AG
DE,DE000A2GSLY0,Daimler AG
DE,DE000A2LQ5M4,HOCHTIEF AG
DE,DE000A2LQJ75,Deutsche Börse AG
DE,DE000A2LQRS3,"Deutsche Telekom AG, Bonn"
DE,DE000A2R7JD3,Vonovia Finance B.V.
DE,DE000A2R7JE1,Vonovia Finance B.V.
DE,DE000A2R8NC5,Vonovia Finance B.V.
DE,DE000A2R8ND3,Vonovia Finance B.V.
DE,DE000A2R9ZT1,Daimler Intl Finance B.V.
DE,DE000A2R9ZU9,Daimler Intl Finance B.V.
DE,DE000A2RWAX4,Allianz Finance II B.V.
DE,DE000A2RWAY2,Allianz Finance II B.V.
DE,DE000A2RWZZ6,Vonovia Finance B.V.
DE,DE000A2RYD83,Daimler Intl Finance B.V.
DE,DE000A2RYD91,Daimler Intl Finance B.V.
DE,DE000A2TR083,Daimler AG
DE,DE000A2TSDD4,"Deutsche Telekom AG, Bonn"
DE,DE000A2TSDE2,"Deutsche Telekom AG, Bonn"
DE,DE000A2TSTD0,SAP SE
DE,DE000A2TSTE8,SAP SE
DE,DE000A2TSTF5,SAP SE
DE,DE000A2TSTG3,SAP SE
DE,DE000A2YB699,Schaeffler AG
DE,DE000A2YB7A7,Schaeffler AG
DE,DE000A2YB7B5,Schaeffler AG
DE,DE000A2YN2U2,HOCHTIEF AG
DE,DE000A2YN2V0,HOCHTIEF AG
DE,DE000A2YNZV0,Daimler AG
DE,DE000A2YNZW8,Daimler AG
DE,DE000A2YNZX6,Daimler AG
DE,DE000A2YNZY4,Daimler AG
DE,DE000A2YPFU9,Daimler AG
DE,DE000A3E5FR9,Vonovia SE
DE,DE000A3H2457,Deutsche Börse AG
DE,DE000A3H2465,Deutsche Börse AG
DE,DE000A3H25P4,Deutsche Wohnen AG
DE,DE000A3H25Q2,Deutsche Wohnen AG
DE,DE000A3H2TA0,Schaeffler AG
DE,DE000A3H2TW4,EWE AG
DE,DE000A3H3J14,Vantage Towers AG
DE,DE000A3H3J22,Vantage Towers AG
DE,DE000A3H3J30,Vantage Towers AG
DE,DE000A3H3JM4,Daimler AG
DE,DE000A3H3JU7,LEG Immobilien AG
DE,DE000TLX2003,Talanx AG
DE,DE000TLX2102,Talanx AG
DE,XS0162513211,E.ON Intl Finance B.V.
DE,XS0207320242,EnBW International Finance BV
DE,XS0347908096,E.ON Intl Finance B.V.
DE,XS0412842857,innogy Finance B.V.
DE,XS0438844093,EnBW International Finance BV
DE,XS0441740817,Deutsche Telekom Intl Fin.B.V.
DE,XS0452868788,Deutsche Bahn Finance Gmbh
DE,XS0503603267,Deutsche Telekom Intl Fin.B.V.
DE,XS0524471355,Deutsche Bahn Finance Gmbh
DE,XS0525787874,Deutsche Telekom Intl Fin.B.V.
DE,XS0553728709,Deutsche Telekom Intl Fin.B.V.
DE,XS0554975325,Deutsche Bahn Finance Gmbh
DE,XS0632241112,Deutsche Bahn Finance Gmbh
DE,XS0753143709,Deutsche Bahn Finance Gmbh
DE,XS0795877454,Deutsche Post Finance B.V.
DE,XS0811690550,Bertelsmann SE  KGaA
DE,XS0847580353,Deutsche Telekom Intl Fin.B.V.
DE,XS0855167523,LANXESS AG
DE,XS0856032213,Deutsche Bahn Finance Gmbh
DE,XS0862952297,Deutsche Post AG
DE,XS0875797515,Deutsche Telekom Intl Fin.B.V.
DE,XS0877622034,BMW Finance N.V.
DE,XS0934389221,Robert Bosch Invest.Nedld.B.V.
DE,XS0934539726,Robert Bosch Invest.Nedld.B.V.
DE,XS0942082115,Vier Gas Transport GmbH
DE,XS0951155869,Vier Gas Transport GmbH
DE,XS0969368934,Deutsche Bahn Finance Gmbh
DE,XS0977496636,Deutsche Post AG
